,Athlete,Yr.,Team,Score,Time,Gap,Avg. Mile
1,"MOOS, Savannah",8,Prince of Peace,--,08:39.5,---,05:46.3
2,"LEIKER, Charlotte",7,Nativity/St. Michael,1,09:28.7,48:00.0,06:19.1
3,"HIBLER, Madison",7,Nativity/St. Michael,2,10:05.6,01:26.1,06:43.7
4,"NEWELL, Caroline",8,Nativity/St. Michael,3,10:23.6,01:44.1,06:55.7
5,"SCOTT, Clare",7,Holy Spirit,4,10:33.5,01:54.0,07:02.3
6,"NELSON, Elsie",7,Good Shepherd,5,10:35.0,01:54.5,07:03.3
7,"DAVIS, Ali",7,Ascension,6,10:37.7,01:58.2,07:05.1
8,"AMMEEN, Cecelia",8,Cure of Ars,7,10:40.8,02:01.3,07:07.2
9,"PEETE, Sloan",8,Cure of Ars,8,10:41.4,02:01.9,07:07.6
10,"EHMAN, Ella",7,Ascension,9,10:42.2,02:02.7,07:08.1
11,"ROGERS, Maggie",7,Nativity/St. Michael,10,10:49.1,02:09.6,07:12.7
12,"MENGHINI, Clare",7,Ascension,11,10:57.7,02:18.2,07:18.5
13,"DAVILA, Isabella",8,Holy Spirit,12,11:04.8,02:25.3,07:23.2
14,"WHITE, Sarah",8,Sacred Heart,13,11:06.4,02:26.9,07:24.2
15,"OLSEN, Celeste",7,St Joseph,--,11:12.8,02:33.3,07:28.5
16,"LYNN, Paige",7,Corpus Christi,--,11:22.1,02:42.6,07:34.7
17,"ARICO, Genevieve",8,Cure of Ars,14,11:24.6,02:45.1,07:36.4
18,"BILBREY, Rebekah",8,Cure of Ars,15,11:30.2,02:50.7,07:40.1
19,"GALLAGHER, Shae",8,Nativity/St. Michael,16,11:33.1,02:53.6,07:42.1
20,"HILDEBRANDT, Norah",7,Sacred Heart,17,11:34.2,02:54.7,07:42.8
21,"DEPPERSCHMIDT, Claire",7,Ascension,18,11:37.9,02:58.4,07:45.2
22,"GANGEL, Collins",7,St Agnes,19,11:40.2,03:00.7,07:46.8
23,"SLOWIK, Ramona",7,St Agnes,20,11:45.0,03:04.5,07:50.0
24,"BURGARD, Allison",8,Cure of Ars,21,11:56.3,03:16.8,07:57.5
25,"TORRES, Isabella",7,St Paul,--,11:57.4,03:17.9,07:58.3
26,"DONEGAN, Monica",7,St Paul,--,12:02.9,03:23.4,08:01.9
27,"KIPP, Lily",8,Sacred Heart,22,12:05.2,03:25.7,08:03.4
28,"TASSI, Greta",8,Cure of Ars,--,12:16.7,03:37.2,08:11.1
29,"KEENAN, Caroline",7,Prince of Peace,--,12:16.9,03:37.4,08:11.2
30,"MURRAY, Alexis",8,Ascension,23,12:30.2,03:50.7,08:20.1
31,"DAHLSTRAND, Annie",8,Corpus Christi,--,12:40.5,04:01.0,08:27.0
32,"SIZEMORE, Madelyn",8,Cure of Ars,--,12:42.7,04:03.2,08:28.4
33,"BOWLES, Stella",7,Good Shepherd,24,13:03.2,04:23.7,08:42.1
34,"EICKHOLT, Emerson",7,Holy Spirit,25,13:14.7,04:35.2,08:49.8
35,"HAEUSSER, Lillian",8,Holy Trinity,26,13:20.3,04:40.8,08:53.5
36,"HAEUSSER, Eleanor",8,Holy Trinity,27,13:41.7,05:02.2,09:07.8
37,"LACKAMP, Claire",8,Holy Trinity,28,13:46.6,05:07.1,09:11.0
38,"HLADKY, Zoe",7,Good Shepherd,29,13:47.9,05:08.4,09:11.9
39,"ARICO, Felicity",7,Cure of Ars,--,14:21.2,05:41.7,09:34.1
40,"WITTEN, Charlotte",7,Cure of Ars,--,15:22.7,06:43.2,10:15.1
41,"HOLMES, Abby",7,St Agnes,30,15:35.7,06:56.2,10:23.8
42,"MIKA, Abigail",7,Holy Trinity,31,16:42.8,08:03.3,11:08.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
