,Athlete,Yr.,Team,Score,Time,Gap,Avg. Mile
1,"HIBLER, James",4,Nativity/St. Michael,1,03:20.4,---,05:23.2
2,"VOHS, Cyrus",3,Holy Rosary WEA,2,03:22.2,12:00.0,05:26.0
3,"KOHRS, Aiden",4,Holy Trinity,3,03:22.9,00:00.0,05:27.3
4,"VESTAL, Drew",4,Cure of Ars,4,03:33.4,00:00.0,05:44.1
5,"MADER, Alec",4,Holy Trinity,5,03:37.8,36:00.0,05:51.3
6,"HAEUSSER, Henry",4,Cure of Ars,6,03:39.5,24:00.0,05:53.9
7,"WHITACRE, Allen",3,Prince of Peace,7,03:40.9,00:00.0,05:56.3
8,"CINDRICH, Noah",4,Cure of Ars,8,03:43.3,36:00.0,06:00.1
9,"GOODGER, Matt",3,St Ann,9,03:43.6,48:00.0,06:00.6
10,"PICK, Jacob",4,St Joseph,10,03:44.9,00:00.0,06:02.7
11,"KENNY, Ian",4,Prince of Peace,11,03:45.5,24:00.0,06:03.6
12,"LOMBARDO, Edward",3,Prince of Peace,12,03:45.8,36:00.0,06:04.1
13,"MCLENON, Killian",4,Holy Spirit,13,03:47.8,36:00.0,06:07.4
14,"TRAUSCH, Peter",3,Holy Spirit,14,03:48.4,00:00.0,06:08.3
15,"BARTELS, Everett",4,St Joseph,15,03:48.5,24:00.0,06:08.4
16,"WOOLLEY, Van",4,Holy Trinity,16,03:49.1,48:00.0,06:09.4
17,"LANIGAN, Alex",3,Ascension,17,03:51.3,36:00.0,06:12.9
18,"LEFEBVRE, Charlie",4,Cure of Ars,18,03:52.5,24:00.0,06:15.0
19,"DEPAOLIS, Jesus",3,Xavier,19,03:54.6,48:00.0,06:18.3
20,"TEETER, Rigby",4,Good Shepherd,20,03:54.8,36:00.0,06:18.7
21,"MCDONALD, David",4,Good Shepherd,21,03:55.8,36:00.0,06:20.3
22,"GUDENKAUF, Daniel",3,Cure of Ars,22,03:56.1,48:00.0,06:20.8
23,"GIFFORD, Nick",3,Nativity/St. Michael,23,03:56.5,24:00.0,06:21.5
24,"BUSH, James",3,St Ann,24,03:57.7,12:00.0,06:23.4
25,"ROTHERMICH, James",4,Nativity/St. Michael,25,03:58.8,36:00.0,06:25.1
26,"SHADA, James",4,Sacred Heart,26,03:59.5,24:00.0,06:26.2
27,"BURGARD, Cole",3,Cure of Ars,--,04:01.4,00:00.0,06:29.3
28,"KAYE, Zachary",4,Cure of Ars,--,04:02.5,24:00.0,06:31.1
29,"GARDNER, Jerome",3,St Agnes,27,04:02.9,00:00.0,06:31.7
30,"HILDEBRANDT, Wyatt",4,Sacred Heart,28,04:04.7,12:00.0,06:34.6
31,"KEATHLEY-HELMS, Buchanan",3,Corpus Christi,--,04:05.8,36:00.0,06:36.4
32,"HUNTER, Johnny",4,Nativity/St. Michael,29,04:06.4,00:00.0,06:37.3
33,"HUBER, Grayson",4,Prince of Peace,30,04:06.5,24:00.0,06:37.5
34,"KILGORE, Declan",3,Cure of Ars,--,04:07.6,48:00.0,06:39.3
35,"BOSWELL, Orrin",3,St Agnes,31,04:08.6,48:00.0,06:40.9
36,"PRINZIVALLI, JP",3,Cure of Ars,--,04:09.0,24:00.0,06:41.5
37,"SOFFERIN, Patrick",4,Prince of Peace,32,04:10.3,36:00.0,06:43.7
38,"BARIKMO, Konnor",4,Good Shepherd,33,04:10.5,24:00.0,06:44.0
39,"THRELKELD, Luka",3,Holy Rosary WEA,34,04:11.4,00:00.0,06:45.3
40,"MOCK, Joey",3,Nativity/St. Michael,35,04:12.5,24:00.0,06:47.1
41,"BETHURUM, John",3,St Ann,36,04:13.4,00:00.0,06:48.6
42,"EICHENBERG, Bowen",3,St Ann,37,04:15.2,12:00.0,06:51.5
43,"GALMARINI, Eli",4,Holy Trinity,38,04:18.7,12:00.0,06:57.2
44,"WILSON, Henry",3,St Agnes,39,04:20.8,01:00.4,07:00.5
45,"WADE, McCoy",4,Holy Trinity,40,04:22.5,01:02.1,07:03.3
46,"THIELEN, Dominic",3,Holy Trinity,--,04:22.6,01:02.2,07:03.5
47,"URBAUER, Monroe",4,Holy Trinity,--,04:23.8,01:03.4,07:05.5
48,"BUCCI, Owen",3,Cure of Ars,--,04:24.6,01:04.2,07:06.7
49,"TALBERT, Justin",3,Holy Spirit,41,04:26.0,01:04.6,07:08.9
50,"ROESER, Cooper",4,Holy Trinity,--,04:26.6,01:06.2,07:10.0
51,"WOODS, Ben",4,Holy Rosary WEA,42,04:26.9,01:06.5,07:10.3
52,"JANSEN, Weston",3,Holy Rosary WEA,43,04:27.1,01:06.7,07:10.7
53,"FUNKE, Caleb",4,Holy Trinity,--,04:28.6,01:08.2,07:13.2
54,"DORING, Matthew",4,Cure of Ars,--,04:30.2,01:09.8,07:15.7
55,"SALAZAR, Easton",3,Xavier,44,04:31.1,01:10.7,07:17.1
56,"AKINS, Callahan",3,Ascension,45,04:31.2,01:10.8,07:17.3
57,"WELCH, John Paul",4,Sacred Heart,46,04:31.3,01:10.9,07:17.5
58,"WILLIAMS, Graham",4,Nativity/St. Michael,--,04:31.5,01:11.1,07:17.9
59,"WALZ, Jude",4,Cure of Ars,--,04:32.5,01:12.1,07:19.5
60,"SEEMATTER, Hudson",3,Holy Trinity,--,04:32.6,01:12.2,07:19.6
61,"LOBELL, Bennett",3,Cure of Ars,--,04:32.8,01:12.4,07:20.0
62,"OSARIO, Leo",3,St Paul,47,04:33.4,01:13.0,07:21.0
63,"FLANAGAN, Thomas",3,Cure of Ars,--,04:33.7,01:13.3,07:21.4
64,"TROYER, Hunter",4,Holy Trinity,--,04:35.8,01:15.4,07:24.7
65,"SALAZAR, Evan",3,Xavier,48,04:35.9,01:15.5,07:25.0
66,"KELLER, Gavin",4,Good Shepherd,49,04:36.2,01:15.8,07:25.4
67,"BOWERS, Jack",3,Ascension,50,04:38.5,01:18.1,07:29.2
68,"STRONG, Kellan",4,Xavier,51,04:42.8,01:22.4,07:36.0
69,"WHALEN, Jude",3,Sacred Heart,52,04:44.5,01:24.1,07:38.8
70,"SIGLE, Tucker",3,St Paul,53,04:45.4,01:25.0,07:40.2
71,"TARWATER, Oliver",3,Sacred Heart,54,04:46.9,01:26.5,07:42.6
72,"DE BERNER, Joshua",3,Cure of Ars,--,04:49.6,01:29.2,07:47.0
73,"DOAK, Patrick",3,Xavier,55,04:55.5,01:35.1,07:56.5
74,"CAMPBELL, Edison",4,St Paul,56,04:58.7,01:38.3,08:01.8
75,"KELLEY, Henry",3,Good Shepherd,57,05:03.5,01:43.1,08:09.4
76,"SCRIBNER, Lincoln",3,Good Shepherd,--,05:03.7,01:43.3,08:09.8
77,"OCHS, Andrew",3,St Paul,58,05:05.9,01:45.5,08:13.3
78,"KAMMERER, Sam",4,St Joseph,59,05:16.6,01:56.2,08:30.6
79,"ZIEGLER, Augustus",3,Sacred Heart,--,05:22.3,02:01.9,08:39.8
80,"PRIVITERA, Sylvester",3,Cure of Ars,--,05:23.5,02:03.1,08:41.7
81,"LAUDNER, Benjamin",3,Holy Trinity,--,05:26.3,02:05.9,08:46.3
82,"DEMARCO, Andrew",3,Sacred Heart,--,05:32.7,02:12.3,08:56.5
83,"LANGE, John",4,Nativity/St. Michael,--,05:42.4,02:22.0,09:12.2
84,"COLE, Landon",3,Ascension,60,05:54.1,02:33.7,09:31.1
85,"OKPARA, Josiah",3,St Paul,61,06:03.6,02:43.2,09:46.4
86,"WHITE, Zachary",3,Sacred Heart,--,06:15.3,02:54.9,10:05.3
87,"ROBBEN, Maximus",4,Cure of Ars,--,06:25.6,03:05.2,10:21.8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
